node,task_id,mean_est
amphost001,1,
amphost001,2,
amphost001,3,
amphost001,6,0.7191358024691358
amphost001,7,0.0
amphost001,8,0.0
amphost001,9,0.0
amphost001,10,3.846774193548387
amphost001,11,3.8262243285939967
amphost001,13,0.0
amphost001,14,0.387931034482758
amphost001,17,2.9905416168857046
amphost001,18,0.0
amphost001,19,0.2903225806451597
amphost001,20,
amphost001,22,0.0
amphost001,27,0.0
amphost001,28,
amphost001,29,
amphost001,30,
amphost001,31,0.0
amphost001,34,2.9162233135529645
amphost001,35,0.0
amphost001,36,
amphost001,37,0.0
amphost001,39,0.0
amphost001,40,0.0
amphost001,41,0.387931034482758
amphost001,42,2.8929331630481063
amphost001,43,3.0
amphost001,44,0.0
amphost001,45,0.0
amphost001,46,
amphost001,48,
amphost002,0,4.0
amphost002,4,5.857142857142857
amphost002,5,5.0
amphost002,12,6.0
amphost002,15,5.928571428571429
amphost002,16,3.0
amphost002,21,4.801251956181534
amphost002,23,4.0
amphost002,24,4.993288590604027
amphost002,25,3.0
amphost002,26,3.0
amphost002,32,5.0
amphost002,33,5.0
amphost002,38,4.955223880597015
amphost002,47,5.0
amphost002,49,4.0
