node,task_id,mean_est
amphost002,0,3.8674242424242427
amphost002,1,6.0
amphost002,2,3.0
amphost002,3,3.0
amphost002,4,3.0
amphost002,5,0.0
amphost002,7,3.9583333333333344
amphost002,8,3.9583333333333335
amphost002,9,3.0
amphost002,10,1.0208333333333333
amphost002,11,
amphost002,12,4.992481203007519
amphost002,13,3.0
amphost002,14,3.0
amphost002,15,3.0
amphost002,16,0.0
amphost002,18,3.0
amphost002,19,3.0
amphost002,21,3.0
amphost002,22,
amphost002,23,3.0
amphost002,24,3.0
amphost002,25,3.0
amphost002,26,3.0
amphost002,27,0.9999999999999998
amphost002,28,
amphost002,29,3.0
amphost002,30,3.0
amphost002,31,1.9791666666666667
amphost002,32,0.041666666666666664
amphost002,33,3.0
amphost002,34,
amphost002,35,3.0
amphost002,37,3.0
amphost002,38,3.0
amphost002,39,1.9791666666666667
amphost002,40,4.0
amphost002,41,3.0
amphost002,42,
amphost002,43,1.9791666666666667
amphost002,44,3.0
amphost002,45,0.0
amphost002,46,
amphost002,47,
amphost002,49,3.0
amphost003,0,1.0
amphost003,1,2.0
amphost003,2,1.0
amphost003,3,1.0
amphost003,4,1.0
amphost003,5,1.0
amphost003,6,0.0
amphost003,7,1.0
amphost003,8,1.0
amphost003,9,1.0
amphost003,11,0.0
amphost003,12,1.9924812030075187
amphost003,13,1.0
amphost003,14,1.0
amphost003,15,1.0
amphost003,17,1.0
amphost003,18,1.0
amphost003,19,1.0
amphost003,20,1.0
amphost003,21,1.0
amphost003,23,1.0
amphost003,24,1.0
amphost003,25,1.0
amphost003,26,1.0
amphost003,27,0.0
amphost003,28,
amphost003,29,1.0
amphost003,30,1.0
amphost003,31,0.0
amphost003,33,1.0
amphost003,35,1.0
amphost003,36,0.0
amphost003,37,1.0
amphost003,38,1.0
amphost003,39,0.0
amphost003,41,1.0
amphost003,42,1.0
amphost003,44,1.0
amphost003,46,0.0
amphost003,48,0.0
amphost003,49,1.0
