node,task_id,mean_est
amphost002,0,
amphost002,1,
amphost002,2,
amphost002,3,0.0
amphost002,5,
amphost002,6,
amphost002,7,
amphost002,9,0.0
amphost002,11,0.0
amphost002,12,
amphost002,14,
amphost002,15,
amphost002,16,
amphost002,17,4.0
amphost002,18,4.0
amphost002,19,4.552238805970149
amphost002,20,0.0
amphost002,21,
amphost002,22,4.726190476190476
amphost002,23,4.906976744186046
amphost002,26,
amphost002,27,
amphost002,28,4.9216417910447765
amphost002,30,5.0
amphost002,33,
amphost002,34,
amphost002,35,
amphost002,36,0.0
amphost002,39,0.0
amphost002,40,
amphost002,43,
amphost002,45,
amphost002,46,
amphost002,47,
amphost002,49,
amphost003,3,0.2857142857142857
amphost003,4,2.0
amphost003,5,2.0
amphost003,8,2.8333333333333335
amphost003,10,0.0
amphost003,13,2.9208333333333334
amphost003,17,2.0
amphost003,18,2.0
amphost003,24,0.0
amphost003,25,0.0
amphost003,29,2.0
amphost003,31,0.0
amphost003,32,2.95
amphost003,33,3.0
amphost003,34,0.0
amphost003,37,2.0
amphost003,38,0.0
amphost003,39,0.0
amphost003,41,3.0
amphost003,42,0.0
amphost003,43,0.0
amphost003,44,2.9193548387096775
amphost003,45,1.903225806451613
amphost003,48,3.0
