node,task_id,mean_est
amphost002,0,39.42064995189995
amphost002,1,38.851587301587294
amphost002,2,48.1
amphost002,3,30.330769230769224
amphost002,4,39.92999999999999
amphost002,5,8.34761904761905
amphost002,7,28.116104497354492
amphost002,8,30.26610449735449
amphost002,9,8.45
amphost002,10,7.947619047619055
amphost002,11,
amphost002,12,26.324242424242424
amphost002,13,35.50909090909091
amphost002,14,30.184615384615377
amphost002,15,34.6
amphost002,16,2.166666666666662
amphost002,18,26.349999999999998
amphost002,19,32.6
amphost002,21,10.3
amphost002,22,
amphost002,23,47.1
amphost002,24,31.1
amphost002,25,10.2
amphost002,26,35.5
amphost002,27,22.4
amphost002,28,0.5661044973544964
amphost002,29,26.2
amphost002,30,27.278571428571432
amphost002,31,14.666104497354503
amphost002,32,2.218816137566138
amphost002,33,31.6
amphost002,34,
amphost002,35,39.8
amphost002,37,25.98666666666667
amphost002,38,39.37500000000001
amphost002,39,13.316104497354495
amphost002,40,49.29411764705882
amphost002,41,48.1
amphost002,42,41.9
amphost002,43,2.085714285714282
amphost002,44,43.91
amphost002,45,4.215079365079373
amphost002,46,
amphost002,47,
amphost002,49,25.9
amphost003,0,38.72727272727273
amphost003,1,12.498666666666667
amphost003,2,48.0
amphost003,3,30.030769230769224
amphost003,4,38.88
amphost003,5,8.400000000000006
amphost003,6,35.95133333333334
amphost003,7,27.100000000000005
amphost003,8,32.3
amphost003,9,11.9
amphost003,11,
amphost003,12,25.000757575757575
amphost003,13,35.39999999999999
amphost003,14,30.11538461538462
amphost003,15,34.4
amphost003,17,47.9
amphost003,18,25.016666666666666
amphost003,19,33.9
amphost003,20,14.7
amphost003,21,12.9
amphost003,23,41.489999999999995
amphost003,24,22.6
amphost003,25,12.55
amphost003,26,38.1
amphost003,27,15.600000000000001
amphost003,28,
amphost003,29,25.9
amphost003,30,26.071428571428577
amphost003,31,0.899999999999995
amphost003,33,31.3
amphost003,35,37.3
amphost003,36,
amphost003,37,24.860000000000007
amphost003,38,39.7
amphost003,39,6.799999999999994
amphost003,41,47.93333333333333
amphost003,42,40.6
amphost003,44,43.8
amphost003,46,25.89999999999999
amphost003,48,8.949999999999994
amphost003,49,26.0
